feature_index,variable,label,source,itemid,value_source,clinical_category,summary_mode,hourly_coverage,valid_n,valid_fraction,positive_n,negative_n,variance,mean_positive,mean_negative,abs_mean_difference,point_biserial_corr,abs_point_biserial_corr,auroc,auroc_abs,auprc,ap_lift_over_prevalence,mutual_information,possible_leakage_flag,static_like_flag,physiology_direction_hint,univariate_relevance_score,correlation_cluster_id,correlation_cluster_size,standardized_variance_diagonal,mrmr_rank,mrmr_score,mean_abs_corr_with_previous_selected,lambda_redundancy,elasticnet_selection_probability,elasticnet_mean_abs_coefficient,elasticnet_successful_bootstraps,elasticnet_n_requested_bootstraps,rfecv_selected,rfecv_rank,mrmr_rank_score,component_relevance,component_stability,component_mrmr,component_coverage,component_rfecv,penalty_leakage,penalty_static,penalty_sparse,penalty_low_relevance,consensus_score,recommendation,recommendation_order,final_branch,final_rank_within_branch,evidence_feature_index,final_feature_order,broad_feature_index
0,chartevents::220045::Heart Rate::valuenum,Heart Rate,chartevents,220045,valuenum,vital_heart_rate,observed_fraction,0.6215710639953613,8020,1.0,1122,6898,0.1481564491987228,0.4721850454807281,0.6458695530891418,0.1736845076084137,-0.1565252515641339,0.1565252515641339,0.3798358717218403,0.6201641282781597,0.1161339397999662,0.8301196053437874,0.0233198299989108,False,False,higher_may_indicate_physiologic_stress,0.5809239908530767,1,3,1.000124707649218,7.0,0.477296002050426,0.2072559776053012,0.5,1.0,0.5582435308024287,80.0,80.0,False,,0.9,0.5809239908530767,1.0,0.9,1.0,0.0,0.0,0.0,0.0,0.0,0.754277197255923,core,1,clinical,1,0,0,0
1,chartevents::220210::Respiratory Rate::valuenum,Respiratory Rate,chartevents,220210,valuenum,vital_respiratory_rate,observed_fraction,0.6187344193458557,8020,1.0,1122,6898,0.1479163765907287,0.4718137383460998,0.6426319479942322,0.1708182096481323,-0.1540670129365281,0.1540670129365281,0.3821162996947111,0.6178837003052888,0.1169125557340415,0.8356851131791565,0.0239846306471414,False,False,higher_may_indicate_respiratory_distress,0.5784850444545786,1,3,1.0001247132729174,12.0,0.4293440890914919,0.2982819107261734,0.5,0.475,0.1894506741256919,80.0,80.0,False,,0.8166666666666667,0.5784850444545786,0.475,0.8166666666666667,1.0,0.0,0.0,0.0,0.0,0.0,0.5793788466697068,review,3,clinical,2,1,1,1
2,chartevents::220277::O2 saturation pulseoxymetry::valuenum,O2 saturation pulseoxymetry,chartevents,220277,valuenum,vital_oxygen_saturation,observed_fraction,0.6085671186447144,8020,1.0,1122,6898,0.1450699418783188,0.4655748605728149,0.6318256855010986,0.1662508249282837,-0.1514114166056623,0.1514114166056623,0.3811319409020363,0.6188680590979637,0.1161462077258901,0.8302072958659881,0.0260926898081026,False,False,lower_may_indicate_worse_oxygenation,0.5818207287819225,1,3,1.0001246908066106,5.0,0.556772126082846,0.050097205398153,0.5,0.6,0.1379090623900992,80.0,80.0,False,,0.9333333333333332,0.5818207287819225,0.6,0.9333333333333332,1.0,0.0,0.0,0.0,0.0,0.0,0.6412128853012433,strong,2,clinical,3,2,2,2
4,chartevents::220179::Non Invasive Blood Pressure systolic::valuenum,Non Invasive Blood Pressure systolic,chartevents,220179,valuenum,vital_blood_pressure,observed_fraction,0.516879677772522,8020,1.0,1122,6898,0.1517232954502105,0.3732546269893646,0.5402411222457886,0.1669864952564239,-0.1487095843195243,0.1487095843195243,0.37443614336533,0.62556385663467,0.1138940955192225,0.8141093102176156,0.0163516698353032,False,False,low_or_high_may_indicate_instability,0.5532355177311857,3,3,1.000124735595146,14.0,0.4052701039206808,0.2959308276210098,0.5,0.975,0.0951942670857533,80.0,80.0,False,,0.7833333333333333,0.5532355177311857,0.975,0.7833333333333333,1.0,0.0,0.0,0.0,0.0,0.0,0.7151373219860223,core,1,clinical,4,4,3,11
5,chartevents::220180::Non Invasive Blood Pressure diastolic::valuenum,Non Invasive Blood Pressure diastolic,chartevents,220180,valuenum,vital_blood_pressure,observed_fraction,0.516806960105896,8020,1.0,1122,6898,0.1516776978969574,0.3732546269893646,0.5401565432548523,0.1669019162654876,-0.1486566187119337,0.1486566187119337,0.3744437019384574,0.6255562980615426,0.1138803312444655,0.8140109238686396,0.0160697458733061,False,False,low_or_high_may_indicate_instability,0.5523092931147895,3,3,1.0001247476733983,16.0,0.3863862524201147,0.3318460813893496,0.5,1.0,0.07666801615851,80.0,80.0,False,,0.75,0.5523092931147895,1.0,0.75,1.0,0.0,0.0,0.0,0.0,0.0,0.7156927879344368,core,1,clinical,5,5,4,12
10,chartevents::223761::Temperature Fahrenheit::valuenum,Temperature Fahrenheit,chartevents,223761,valuenum,vital_temperature,observed_fraction,0.167648583650589,8020,1.0,1122,6898,0.0120043959468603,0.1362151056528091,0.1727614402770996,0.0365463346242904,-0.1157063920875979,0.1157063920875979,0.3940271250702236,0.6059728749297764,0.1242373188344246,0.8880421542353707,0.0174637048309458,False,False,,0.5058059173991036,7,1,1.0001246694523205,19.0,0.3708668577456529,0.2698781193069014,0.5,0.95,0.0662460661973455,80.0,80.0,False,,0.7,0.5058059173991036,0.95,0.7,1.0,0.0,0.0,0.0,0.0,0.0,0.676741775219731,core,1,clinical,6,10,5,8
22,chartevents::223834::O2 Flow::valuenum,O2 Flow,chartevents,223834,valuenum,respiratory_support_intensity,last,0.1172277629375457,5548,0.6917705735660847,698,4850,54.071815490722656,7.836198329925537,5.627319812774658,2.208878517150879,0.0996204750013914,0.0996204750013914,0.6319408915014918,0.6319408915014918,0.1824724704936082,1.3043041117279304,0.0070214857552524,False,False,,0.4790118308859593,19,1,1.0001247158166402,10.0,0.4388865850546963,0.0802504916625259,0.5,1.0,0.1915756704285741,80.0,80.0,False,,0.85,0.4790118308859593,1.0,0.85,0.6917705735660847,0.0,0.0,0.0,0.0,0.0,0.6828806066223962,core,1,clinical,7,22,6,69
21,chartevents::223835::Inspired O2 Fraction::valuenum,Inspired O2 Fraction,chartevents,223835,valuenum,respiratory_support_intensity,last,0.0348919369280338,1856,0.2314214463840399,402,1454,564.4392700195312,67.18449401855469,56.61542892456055,10.56906509399414,0.1832505382727905,0.1832505382727905,0.6250282288694081,0.6250282288694081,0.2919287896431211,2.0866924179481567,0.0163444337271763,False,False,,0.6100441735134945,18,1,1.000124728466874,4.0,0.5815044247298748,0.0570794975672393,0.5,1.0,0.2402002664282918,80.0,80.0,False,,0.95,0.6100441735134945,1.0,0.95,0.2314214463840399,0.0,0.0,0.0,0.0,0.0,0.6961553966924524,core,1,clinical,8,21,7,127
35,labevents::50813::Lactate::valuenum,Lactate,labevents,50813,valuenum,lab_metabolic,last,0.0312344133853912,3207,0.3998753117206982,555,2652,2.254678726196289,2.3880481719970703,1.8640484809875488,0.5239996910095215,0.1320148669475253,0.1320148669475253,0.573184609949316,0.573184609949316,0.2417394356809517,1.727941420821063,0.0079570052043531,False,False,higher_may_indicate_shock_or_stress,0.4626543502161351,28,1,1.000124710212042,11.0,0.4315449355244367,0.0622188293833968,0.5,1.0,0.1085052256472408,80.0,80.0,False,,0.8333333333333334,0.4626543502161351,1.0,0.8333333333333334,0.3998753117206982,0.0,0.0,0.0,0.0,0.0,0.6454505029035771,core,1,clinical,9,35,8,83
24,labevents::50820::pH::valuenum,pH,labevents,50820,valuenum,lab_blood_gas_respiration,observed_fraction,0.0308239813894033,8020,1.0,1122,6898,0.0026171358767896,0.0422608442604541,0.0289637092500925,0.0132971350103616,0.0901630471169875,0.0901630471169875,0.5762936530209226,0.5762936530209226,0.1680852833618261,1.201465216187028,0.0079321485659884,False,False,lower_may_indicate_acidosis,0.4284812597492602,21,5,1.0001247086768528,30.0,0.3291975396580352,0.1985674401824499,0.5,1.0,0.198897143692011,80.0,80.0,False,,0.5166666666666666,0.4284812597492602,1.0,0.5166666666666666,1.0,0.0,0.0,0.0,0.0,0.0,0.6318777112581114,core,1,clinical,10,24,9,87
